epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
88,4004,1.5397866093280754e-07,,,,,
89,4049,,1.341104365337742e-07,,,,
89,4049,,,0.0,1.5298523692308663e-07,0.0,0.0
89,4049,1.4586579766273644e-07,,,,,
90,4094,,,0.0,1.4305113893442467e-07,0.0,0.0
90,4094,1.3758737793523323e-07,,,,,
91,4099,,1.2665985593685036e-07,,,,
91,4139,,,0.0,1.4503795853215706e-07,0.0,0.0
91,4139,1.3195804626775498e-07,,,,,
92,4149,,1.341104365337742e-07,,,,
92,4184,,,0.0,1.311302071371756e-07,0.0,0.0
92,4184,1.299712266700226e-07,,,,,
93,4199,,1.341104365337742e-07,,,,
93,4229,,,0.0,1.33117026734908e-07,0.0,0.0
93,4229,1.2748770927828446e-07,,,,,
94,4249,,1.1920928244535389e-07,,,,
94,4274,,,0.0,1.311302071371756e-07,0.0,0.0
94,4274,1.2533531901226524e-07,,,,,
95,4299,,1.2665985593685036e-07,,,,
95,4319,,,0.0,1.271565537308561e-07,0.0,0.0
95,4319,1.238451972085386e-07,,,,,
96,4349,,1.1920928244535389e-07,,,,
96,4364,,,0.0,1.251697341331237e-07,0.0,0.0
96,4364,1.2301735807795922e-07,,,,,
97,4399,,1.1920928244535389e-07,,,,
97,4409,,,0.0,1.2318292874624603e-07,0.0,0.0
97,4409,1.2235507540481194e-07,,,,,
98,4449,,1.1920928244535389e-07,,,,
98,4454,,,0.0,1.2318292874624603e-07,0.0,0.0
98,4454,1.2136166560594575e-07,,,,,
99,4499,,1.1920928244535389e-07,,,,
99,4499,,,0.0,1.2318292874624603e-07,0.0,0.0
99,4499,1.2103053848022682e-07,,,,,
