epoch,step,train_loss_epoch,train_loss_step,val_f1,val_loss,val_precision,val_recall
79,3599,,,0.0,2.1616453977912897e-06,0.0,0.0
79,3599,9.899329143081559e-07,,,,,
80,3644,,,0.0,2.3384679934679298e-06,0.0,0.0
80,3644,9.642695886213914e-07,,,,,
81,3649,,7.525082423853746e-07,,,,
81,3689,,,0.0,1.933164867296e-06,0.0,0.0
81,3689,9.400972089679271e-07,,,,,
82,3699,,7.525082992287935e-07,,,,
82,3734,,,0.0,1.8457486703482573e-06,0.0,0.0
82,3734,8.607901804680296e-07,,,,,
83,3749,,7.078048724906694e-07,,,,
83,3779,,,0.0,1.8596551853988785e-06,0.0,0.0
83,3779,8.690684580869856e-07,,,,,
84,3799,,8.717172477190616e-07,,,,
84,3824,,,0.0,1.825881440709054e-06,0.0,0.0
84,3824,8.515182798873866e-07,,,,,
85,3849,,9.164207881440234e-07,,,,
85,3869,,,0.0,1.561635826874408e-06,0.0,0.0
85,3869,8.023444024729542e-07,,,,,
86,3899,,6.854531306998979e-07,,,,
86,3914,,,0.0,1.728524580357771e-06,0.0,0.0
86,3914,8.099605111056007e-07,,,,,
87,3949,,5.587933173956117e-07,,,,
87,3959,,,0.0,1.6530304947082186e-06,0.0,0.0
87,3959,7.631048788425687e-07,,,,,
88,3999,,7.525082992287935e-07,,,,
88,4004,,,0.0,1.5914363302726997e-06,0.0,0.0
88,4004,7.323090471800242e-07,,,,,
89,4049,,7.748599273327272e-07,,,,
89,4049,,,0.0,1.5099765278137056e-06,0.0,0.0
89,4049,7.114475124581077e-07,,,,,
90,4094,,,0.0,1.3629561408379232e-06,0.0,0.0
90,4094,7.160834343267197e-07,,,,,
91,4099,,6.482002277152787e-07,,,,
91,4139,,,0.0,1.3331517720871489e-06,0.0,0.0
91,4139,7.006854616520286e-07,,,,,
92,4149,,8.642667239655566e-07,,,,
92,4184,,,0.0,1.4324915582619724e-06,0.0,0.0
92,4184,6.612802394556638e-07,,,,,
93,4199,,5.066393100605637e-07,,,,
93,4229,,,0.0,1.345071950709098e-06,0.0,0.0
93,4229,6.48862510388426e-07,,,,,
94,4249,,5.066393669039826e-07,,,,
94,4274,,,0.0,1.1940768445128924e-06,0.0,0.0
94,4274,6.258485427679261e-07,,,,,
95,4299,,8.419150958616228e-07,,,,
95,4319,,,0.0,1.1225516800550395e-06,0.0,0.0
95,4319,6.056492907191569e-07,,,,,
96,4349,,6.3329912336485e-07,,,,
96,4364,,,0.0,1.0927500397883705e-06,0.0,0.0
96,4364,7.616035304636171e-07,,,,,
97,4399,,5.215404712544114e-07,,,,
97,4409,,,0.0,9.437384278498939e-07,0.0,0.0
97,4409,6.013445386088279e-07,,,,,
98,4449,,4.768370445162873e-07,,,,
98,4454,,,0.0,9.238708003067586e-07,0.0,0.0
98,4454,5.539919811781147e-07,,,,,
99,4499,,7.525082992287935e-07,,,,
99,4499,,,0.0,1.0569868891252554e-06,0.0,0.0
99,4499,5.543230940929789e-07,,,,,
